#
# 1-day summary product timeseries for flagstaff2
#
# Site: flagstaff2
# Veg Type: EN
# ROI ID Number: 3000
# Lat: 35.179225
# Lon: -111.604506
# Elev: 6983
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-03-15
# Creation Time: 15:49:53
# Update Date: 2025-06-27
# Update Time: 11:20:16
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 15:19:10
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2023-01-14,2023,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35481,23.17,182.17,0,6.58,-3.26,480.06
2023-01-15,2023,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35548.76,10.06,68.83,0,1.48,-1.73,538.12
2023-01-16,2023,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35618.86,24.18,74.24,0,1.52,-1.97,528.55
2023-01-17,2023,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35691.27,10.63,120.29,0,1.68,-4.21,447.09
2023-01-18,2023,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35765.94,0,288.51,0,1.42,-10.51,274.6
2023-01-19,2023,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35842.84,7.8,289.57,7.8,0.99,-15.8,178.48
2023-01-20,2023,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35921.91,2.28,221.61,10.08,-1.31,-11.58,252.01
2023-01-21,2023,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,36003.12,0,416.85,10.08,2.39,-18.28,144.74
2023-01-22,2023,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,36086.41,3.48,301.08,13.56,1.03,-16.53,167.89
2023-01-23,2023,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34374,0.34422,0.34979,0.35243,0.37287,0.36996,0.38039,0.3837,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,36171.75,1.72,296.53,15.28,0.02,-9.99,286.13
